FileName,MaxCycles,StressRange,StressAmp,StrainAmp,ElasticAmp,PlasticAmp
20-5.csv,207,75316840.39810762,37658420.19905381,0.02524956939101478,0.019799379705075608,0.005450189685939169
40-2.csv,2,113942147.4253822,56971073.7126911,0.05058099457534753,0.02995324590572613,0.0206277486696214
10-13.csv,18513,45532407.47626527,22766203.738132633,0.01262092092830581,0.01196961290122641,0.0006513080270793992
25-2.csv,46,87454159.10526644,43727079.55263322,0.031538365347297356,0.02299005234102693,0.008548313006270425
12-9.csv,22709,247055766.65232545,123527883.32616273,0.01511303737056548,0.06494631089703613,-0.04983327352647065
10-6.csv,55764,47137528.27416506,23568764.13708253,0.012573676554469882,0.012391568946941392,0.00018210760752848838
12-6.csv,2380,51237990.88616552,25618995.44308276,0.01457470300012089,0.013469503387530368,0.0011051996125905229
30-4.csv,9,106678051.02173655,53339025.51086827,0.03762149531315087,0.02804365168815367,0.0095778436249972
15-10.csv,127,58109750.08708921,29054875.043544605,0.018687958594059514,0.015275959539192748,0.0034119990548667645
15-1.csv,702,62287659.28607767,31143829.643038835,0.01905849184732908,0.016374253229778566,0.0026842386175505136
15-7.csv,826,65593753.40894341,32796876.704471704,0.018924292117393698,0.017243363146409937,0.0016809289709837586
9-4.csv,88595,45382997.351043195,22691498.675521597,0.01127701748384815,0.01193033579154658,-0.0006533183076984318
